"RFM Total","Recency Score","Frequency Score","Monetary Score","Number of Donors
scored like this","Max Difference
in Scores"
5,1,1,3,158,2
6,1,1,4,133,3
9,2,1,6,131,5
12,7,1,4,127,6
7,2,1,4,125,3
11,7,1,3,120,6
13,8,1,4,119,7
10,3,1,6,113,5
6,2,1,3,113,2
8,3,1,4,111,3
11,4,1,6,110,5
12,8,1,3,107,7
15,8,1,6,98,7
15,5,1,9,97,8
13,9,1,3,94,8
9,4,1,4,91,3
8,1,1,6,89,5
11,6,1,4,83,5
7,3,1,3,83,2
3,1,1,1,83,0
14,5,1,8,81,7
17,10,1,6,75,9
13,6,1,6,75,5
16,6,1,9,74,8
12,5,1,6,73,5
10,6,1,3,72,5
14,7,1,6,70,6
8,4,1,3,69,3
10,5,1,4,67,4
19,9,1,9,65,8
18,7,1,10,61,9
20,10,1,9,57,9
16,9,1,6,57,8
8,6,1,1,54,5
14,4,1,9,53,8
18,9,1,8,52,8
17,7,1,9,52,8
15,4,1,10,50,9
17,6,1,10,49,9
13,4,1,8,49,7
16,5,1,10,48,9
15,10,1,4,48,9
4,2,1,1,47,1
10,4,1,5,45,4
9,7,1,1,45,6
7,5,1,1,44,4
15,9,1,5,42,8
14,9,1,4,42,8
9,5,1,3,42,4
17,9,1,7,41,8
12,3,1,8,40,7
18,8,1,9,39,8
9,3,1,5,39,4
14,10,1,3,37,9
11,2,1,8,37,7
19,10,1,8,36,9
18,10,1,7,36,9
15,6,1,8,35,7
19,8,1,10,34,9
21,10,2,9,32,8
17,8,1,8,31,7
5,3,1,1,31,2
20,9,1,10,30,9
6,4,1,1,30,3
21,10,1,10,29,9
13,3,1,9,29,8
10,8,1,1,28,7
20,10,2,8,25,8
11,3,1,7,25,6
8,2,1,5,23,4
16,10,1,5,21,9
13,5,1,7,20,6
14,3,1,10,19,9
14,8,1,5,18,7
22,10,2,10,17,8
19,8,2,9,17,7
18,6,2,10,17,8
12,4,1,7,17,6
22,10,3,9,16,7
21,9,2,10,16,8
20,9,2,9,16,7
14,6,1,7,16,6
10,2,1,7,16,6
7,1,1,5,16,4
18,9,2,7,15,7
16,5,2,9,15,7
12,2,1,9,15,8
12,6,1,5,15,5
23,10,3,10,14,7
17,6,2,9,14,7
16,7,1,8,14,7
11,5,1,5,14,4
19,9,2,8,13,7
18,8,2,8,13,6
10,1,1,8,13,7
29,10,9,10,12,1
17,5,2,10,12,8
12,3,2,7,12,5
11,1,1,9,12,8
9,1,1,7,12,6
13,3,2,8,11,6
21,9,3,9,10,6
20,8,2,10,10,8
17,10,2,5,10,8
13,7,1,5,10,6
25,10,5,10,9,5
22,9,3,10,9,7
19,10,2,7,9,8
19,9,3,7,9,6
16,8,1,7,9,7
15,5,2,8,9,6
14,3,2,9,9,7
12,10,1,1,9,9
8,1,2,5,9,4
24,10,4,10,8,6
23,10,4,9,8,6
20,10,3,7,8,7
18,7,2,9,8,7
17,8,2,7,8,6
15,7,1,7,8,6
13,2,1,10,8,9
11,9,1,1,8,8
18,10,2,6,7,8
17,9,2,6,7,7
16,9,2,5,7,7
15,8,2,5,7,6
12,2,2,8,7,6
10,3,2,5,7,3
9,2,2,5,7,3
21,8,3,10,6,7
19,7,2,10,6,8
16,4,2,10,6,8
16,8,2,6,6,6
16,6,2,8,6,6
15,6,2,7,6,5
13,4,2,7,6,5
9,1,2,6,6,5
8,2,2,4,6,2
30,10,10,10,5,0
29,9,10,10,5,1
27,7,10,10,5,3
24,9,5,10,5,5
19,6,3,10,5,7
18,5,3,10,5,7
18,6,3,9,5,6
15,4,2,9,5,7
13,6,2,5,5,4
11,2,2,7,5,5
11,6,2,3,5,4
6,1,2,3,5,2
23,9,4,10,4,6
22,10,4,8,4,6
16,3,3,10,4,7
16,4,3,9,4,6
15,7,2,6,4,5
14,9,2,3,4,7
14,8,2,4,4,6
14,4,2,8,4,6
12,1,1,10,4,9
12,5,2,5,4,3
11,3,2,6,4,4
10,2,2,6,4,4
9,4,2,3,4,2
25,5,10,10,3,5
24,10,5,9,3,5
24,5,10,9,3,5
23,3,10,10,3,7
23,5,10,8,3,5
22,9,4,9,3,5
19,7,3,9,3,6
18,4,4,10,3,6
17,3,4,10,3,7
17,7,2,8,3,6
17,5,3,9,3,6
17,6,3,8,3,5
17,6,4,7,3,3
16,10,2,4,3,8
16,3,4,9,3,6
16,6,3,7,3,4
15,10,2,3,3,8
15,3,3,9,3,6
14,7,2,5,3,5
13,1,2,10,3,9
13,3,3,7,3,4
12,7,2,3,3,5
11,1,2,8,3,7
9,6,2,1,3,5
29,10,10,9,2,1
28,9,10,9,2,1
27,10,7,10,2,3
26,6,10,10,2,4
26,10,7,9,2,3
25,10,8,7,2,3
24,4,10,10,2,6
22,8,4,10,2,6
21,10,3,8,2,7
21,3,10,8,2,7
21,9,4,8,2,5
20,7,3,10,2,7
20,9,3,8,2,6
20,8,3,9,2,6
20,6,4,10,2,6
20,4,6,10,2,6
20,5,5,10,2,5
19,6,4,9,2,5
18,10,3,5,2,7
18,3,6,9,2,6
18,8,3,7,2,5
18,7,4,7,2,3
16,7,2,7,2,5
16,5,3,8,2,5
15,2,3,10,2,8
15,2,5,8,2,6
15,4,3,8,2,5
15,5,3,7,2,4
14,2,2,10,2,8
14,2,3,9,2,7
14,5,2,7,2,5
14,6,2,6,2,4
14,6,3,5,2,3
13,1,3,9,2,8
13,2,2,9,2,7
13,8,2,3,2,6
12,1,2,9,2,8
9,5,3,1,2,4
9,3,2,4,2,2
28,10,9,9,1,1
28,9,9,10,1,1
27,10,10,7,1,3
27,9,8,10,1,2
27,8,10,9,1,2
26,10,6,10,1,4
26,7,10,9,1,3
26,7,9,10,1,3
25,10,6,9,1,4
25,9,6,10,1,4
25,6,10,9,1,4
25,10,7,8,1,3
25,8,7,10,1,3
24,6,9,9,1,3
24,8,9,7,1,2
23,4,10,9,1,6
23,10,5,8,1,5
23,8,5,10,1,5
23,5,8,10,1,5
23,6,7,10,1,4
23,6,9,8,1,3
22,2,10,10,1,8
22,5,10,7,1,5
22,5,7,10,1,5
22,8,5,9,1,4
22,6,6,10,1,4
21,3,8,10,1,7
21,10,4,7,1,6
21,4,7,10,1,6
21,8,4,9,1,5
21,5,6,10,1,5
21,8,5,8,1,3
21,8,6,7,1,2
21,7,6,8,1,2
20,2,9,9,1,7
20,3,8,9,1,6
20,9,4,7,1,5
19,10,4,5,1,6
19,4,8,7,1,4
18,1,10,7,1,9
18,3,5,10,1,7
18,10,4,4,1,6
18,2,8,8,1,6
18,7,3,8,1,5
18,4,5,9,1,5
18,6,4,8,1,4
18,8,5,5,1,3
18,6,5,7,1,2
18,5,6,7,1,2
17,10,3,4,1,7
17,4,3,10,1,7
17,2,6,9,1,7
17,9,3,5,1,6
17,4,4,9,1,5
17,8,4,5,1,4
17,7,3,7,1,4
17,5,4,8,1,4
17,4,5,8,1,4
15,3,2,10,1,8
15,9,2,4,1,7
15,9,3,3,1,6
15,3,4,8,1,5
14,1,3,10,1,9
14,1,5,8,1,7
14,3,3,8,1,5
13,10,2,1,1,9
13,7,2,4,1,5
13,5,3,5,1,2
13,5,4,4,1,1
12,1,4,7,1,6
12,2,3,7,1,5
12,4,2,6,1,4
12,4,3,5,1,2
11,1,3,7,1,6
11,4,2,5,1,3
11,3,3,5,1,2
11,4,4,3,1,1
10,1,2,7,1,6
10,2,3,5,1,3
10,4,2,4,1,2
9,1,3,5,1,4
8,5,1,2,1,4
8,3,2,3,1,1
7,4,2,1,1,3
7,1,2,4,1,3
7,2,2,3,1,1
5,2,2,1,1,1
Totals,,,,"5,635",
