"RFM Total","Number of
Donors","Amount donated","Percent of
Total donated","Avg donated
per Donor","Avg donated
per donation","Total
transactions","Percent of total
transactions"
30,5,"11,114,968.54",36.33,"2,222,993.71","163,455.42",68,0.86
29,19,"384,282.56",1.26,"20,225.40","1,656.39",232,2.94
28,4,"5,305,590.15",17.34,"1,326,397.54","106,111.80",50,0.63
27,10,"75,097.05",0.25,"7,509.71",449.68,167,2.12
26,7,"11,287.46",0.04,"1,612.49",163.59,69,0.88
25,19,"733,940.87",2.40,"38,628.47","4,242.43",173,2.19
24,23,"1,995,938.07",6.52,"86,779.92","10,235.58",195,2.47
23,38,"856,404.80",2.80,"22,536.97","3,293.86",260,3.30
22,56,"681,669.81",2.23,"12,172.68","3,391.39",201,2.55
21,107,"1,467,470.81",4.80,"13,714.68","5,496.15",267,3.39
20,161,"982,468.39",3.21,"6,102.29","3,483.93",282,3.58
19,201,"3,214,606.75",10.51,"15,993.07","10,860.16",296,3.76
18,279,"661,846.92",2.16,"2,372.21","1,511.07",438,5.56
17,323,"1,407,886.96",4.60,"4,358.78","3,251.47",433,5.49
16,284,"310,939.82",1.02,"1,094.86",854.23,364,4.62
15,427,"1,014,464.62",3.32,"2,375.80","2,053.57",494,6.27
14,373,"115,863.14",0.38,310.63,276.52,419,5.32
13,442,"69,349.10",0.23,156.90,142.11,488,6.19
12,439,"46,220.26",0.15,105.29,97.31,475,6.03
11,430,"39,439.41",0.13,91.72,86.68,455,5.77
10,368,"26,803.17",0.09,72.83,69.98,383,4.86
9,385,"25,698.63",0.08,66.75,62.22,413,5.24
8,363,"19,919.00",0.07,54.87,52.56,379,4.81
7,271,"10,664.76",0.03,39.35,38.92,274,3.48
6,281,"10,602.90",0.03,37.73,37.07,286,3.63
5,190,"4,924.40",0.02,25.92,25.78,191,2.42
4,47,782.00,0.00,16.64,16.64,47,0.60
3,83,"1,325.00",0.00,15.96,15.96,83,1.05
Totals,"5,635","30,590,455.35",100.00,"5,428.65","3,881.05","7,882",100.00
